"location","target","target_end_date","forecast_date","model","location_name","median","lower_50","upper_50","lower_95","upper_95","observed"
"US","3 wk inc flu hosp",2026-01-17,2025-12-27,"FluSight-ensemble","National","30159",22523,40227,14023,59130,19683
"US","0 wk inc flu hosp",2026-01-03,2026-01-03,"FluSight-ensemble","National","41511",35900,45519,27101,55808,42451
"US","1 wk inc flu hosp",2026-01-10,2026-01-03,"FluSight-ensemble","National","40983",32988,50844,24000,66757,29812
"US","2 wk inc flu hosp",2026-01-17,2026-01-03,"FluSight-ensemble","National","40629",31541,47908,19007,70860,19683
"US","3 wk inc flu hosp",2026-01-24,2026-01-03,"FluSight-ensemble","National","39965",31282,50182,16433,73815,16740
"US","0 wk inc flu hosp",2026-01-10,2026-01-10,"FluSight-ensemble","National","40179",34646,44841,26420,55707,29812
"US","1 wk inc flu hosp",2026-01-17,2026-01-10,"FluSight-ensemble","National","38936",31216,45140,20177,61292,19683
"US","2 wk inc flu hosp",2026-01-24,2026-01-10,"FluSight-ensemble","National","38400",29048,44375,18070,64284,16740
"US","3 wk inc flu hosp",2026-01-31,2026-01-10,"FluSight-ensemble","National","32784",26441,43032,16368,63674,15679
"US","0 wk inc flu hosp",2026-01-17,2026-01-17,"FluSight-ensemble","National","25328",19642,28821,14400,34237,19683
"US","1 wk inc flu hosp",2026-01-24,2026-01-17,"FluSight-ensemble","National","23704",17211,28392,9949,36043,16740
"US","2 wk inc flu hosp",2026-01-31,2026-01-17,"FluSight-ensemble","National","22617",16255,30809,7822,43397,15679
"US","3 wk inc flu hosp",2026-02-07,2026-01-17,"FluSight-ensemble","National","21230",15322,30195,5837,44419,15899
"US","0 wk inc flu hosp",2026-01-24,2026-01-24,"FluSight-ensemble","National","16030",12901,17647,8007,24556,16740
"US","1 wk inc flu hosp",2026-01-31,2026-01-24,"FluSight-ensemble","National","13784",9949,19067,6192,28188,15679
"US","2 wk inc flu hosp",2026-02-07,2026-01-24,"FluSight-ensemble","National","12599",7987,18791,4697,32751,15899
"US","3 wk inc flu hosp",2026-02-14,2026-01-24,"FluSight-ensemble","National","11618",6578,17836,3572,34010,16169
"US","0 wk inc flu hosp",2026-01-31,2026-01-31,"FluSight-ensemble","National","12598",9992,14848,7094,20681,15679
"US","1 wk inc flu hosp",2026-02-07,2026-01-31,"FluSight-ensemble","National","10783",8090,13766,4493,21326,15899
"US","2 wk inc flu hosp",2026-02-14,2026-01-31,"FluSight-ensemble","National","9174",6233,13506,3109,20759,16169
"US","3 wk inc flu hosp",2026-02-21,2026-01-31,"FluSight-ensemble","National","7610",4811,12783,1966,21573,14676
"US","0 wk inc flu hosp",2026-02-07,2026-02-07,"FluSight-ensemble","National","13468",11409,16077,7696,21855,15899
"US","1 wk inc flu hosp",2026-02-14,2026-02-07,"FluSight-ensemble","National","12091",9337,15855,5099,24050,16169
"US","2 wk inc flu hosp",2026-02-21,2026-02-07,"FluSight-ensemble","National","11128",7932,14977,4134,24672,14676
"US","3 wk inc flu hosp",2026-02-28,2026-02-07,"FluSight-ensemble","National","9509",6210,14154,2829,24372,11071
"US","0 wk inc flu hosp",2026-02-14,2026-02-14,"FluSight-ensemble","National","13768",11541,15957,8361,19908,16169
"US","1 wk inc flu hosp",2026-02-21,2026-02-14,"FluSight-ensemble","National","12161",9648,15334,5644,23231,14676
"US","2 wk inc flu hosp",2026-02-28,2026-02-14,"FluSight-ensemble","National","10814",7958,14648,4124,24047,11071
"US","3 wk inc flu hosp",2026-03-07,2026-02-14,"FluSight-ensemble","National","9558",6749,13276,3020,23987,9530
"US","0 wk inc flu hosp",2026-02-21,2026-02-21,"FluSight-ensemble","National","13502",11613,15490,8096,19555,14676
"US","1 wk inc flu hosp",2026-02-28,2026-02-21,"FluSight-ensemble","National","12349",9540,15029,5315,21120,11071
"US","2 wk inc flu hosp",2026-03-07,2026-02-21,"FluSight-ensemble","National","10443",8080,13758,3732,21957,9530
"US","3 wk inc flu hosp",2026-03-14,2026-02-21,"FluSight-ensemble","National","9133",6612,12365,2475,21608,7726
"US","0 wk inc flu hosp",2026-02-28,2026-02-28,"FluSight-ensemble","National","12298",10574,14130,7647,17063,11071
"US","1 wk inc flu hosp",2026-03-07,2026-02-28,"FluSight-ensemble","National","10993",8755,13215,5166,18677,9530
"US","2 wk inc flu hosp",2026-03-14,2026-02-28,"FluSight-ensemble","National","10001",7233,12014,3820,19745,7726
"US","3 wk inc flu hosp",2026-03-21,2026-02-28,"FluSight-ensemble","National","8298",5922,10528,2970,18519,6018
"US","0 wk inc flu hosp",2026-03-07,2026-03-07,"FluSight-ensemble","National","8894",7682,10670,5480,14200,9530
"US","1 wk inc flu hosp",2026-03-14,2026-03-07,"FluSight-ensemble","National","7995",6136,9841,3355,15188,7726
"US","2 wk inc flu hosp",2026-03-21,2026-03-07,"FluSight-ensemble","National","6704",4815,8908,2121,14898,6018
"US","3 wk inc flu hosp",2026-03-28,2026-03-07,"FluSight-ensemble","National","6026",3891,7622,1388,14851,3126
"US","0 wk inc flu hosp",2026-03-14,2026-03-14,"FluSight-ensemble","National","7978",6866,9242,4404,12696,7726
"US","1 wk inc flu hosp",2026-03-21,2026-03-14,"FluSight-ensemble","National","6790",5588,8456,2792,12625,6018
"US","2 wk inc flu hosp",2026-03-28,2026-03-14,"FluSight-ensemble","National","5693",4527,7441,1896,12430,3126
"US","3 wk inc flu hosp",2026-04-04,2026-03-14,"FluSight-ensemble","National","5038",3545,6903,1287,11774,2643
"US","0 wk inc flu hosp",2026-03-21,2026-03-21,"FluSight-ensemble","National","6078",5169,7125,3578,9594,6018
"US","1 wk inc flu hosp",2026-03-28,2026-03-21,"FluSight-ensemble","National","5194",4008,6430,2189,9971,3126
"US","2 wk inc flu hosp",2026-04-04,2026-03-21,"FluSight-ensemble","National","4409",3219,5894,1551,9824,2643
"US","3 wk inc flu hosp",2026-04-11,2026-03-21,"FluSight-ensemble","National","3610",2609,5275,1176,9670,1880
"US","0 wk inc flu hosp",2026-03-28,2026-03-28,"FluSight-ensemble","National","4590",3764,5378,2488,7407,3126
"US","1 wk inc flu hosp",2026-04-04,2026-03-28,"FluSight-ensemble","National","3840",3007,4692,1429,7279,2643
"US","2 wk inc flu hosp",2026-04-11,2026-03-28,"FluSight-ensemble","National","3173",2303,4214,974,7461,1880
"US","0 wk inc flu hosp",2026-04-04,2026-04-04,"FluSight-ensemble","National","2417",1871,3007,1077,4584,2643
"US","1 wk inc flu hosp",2026-04-11,2026-04-04,"FluSight-ensemble","National","1884",1319,2573,599,4475,1880
"US","0 wk inc flu hosp",2026-04-11,2026-04-11,"FluSight-ensemble","National","2223",1702,2615,926,3780,1880
